t, xmin, xmax, ymin, ymax
         0,   1.00000000e-01,   2.49375000e-01,   0.00000000e+00,   9.93750000e-02
      1000,   1.06875000e-01,   2.50625000e-01,   0.00000000e+00,   1.02500000e-01
      2000,   1.14375000e-01,   2.50625000e-01,   0.00000000e+00,   1.05625000e-01
      3000,   1.21875000e-01,   2.50625000e-01,   0.00000000e+00,   1.08750000e-01
      4000,   1.29375000e-01,   2.51250000e-01,   0.00000000e+00,   1.11250000e-01
      5000,   1.36875000e-01,   2.58125000e-01,   0.00000000e+00,   1.14375000e-01
      6000,   1.44375000e-01,   2.66250000e-01,   0.00000000e+00,   1.16875000e-01
      7000,   1.51875000e-01,   2.74375000e-01,   0.00000000e+00,   1.19375000e-01
      8000,   1.58750000e-01,   2.82500000e-01,   0.00000000e+00,   1.22500000e-01
      9000,   1.66250000e-01,   2.91250000e-01,   0.00000000e+00,   1.25000000e-01
     10000,   1.73125000e-01,   3.03125000e-01,   0.00000000e+00,   1.26875000e-01
     11000,   1.80625000e-01,   3.15000000e-01,   0.00000000e+00,   1.28750000e-01
     12000,   1.86875000e-01,   3.26250000e-01,   0.00000000e+00,   1.31250000e-01
     13000,   1.89375000e-01,   3.34375000e-01,   0.00000000e+00,   1.33125000e-01
     14000,   1.93750000e-01,   3.37500000e-01,   0.00000000e+00,   1.37500000e-01
     15000,   2.01250000e-01,   3.38125000e-01,   0.00000000e+00,   1.42500000e-01
     16000,   2.10625000e-01,   3.36875000e-01,   0.00000000e+00,   1.46250000e-01
     17000,   2.19375000e-01,   3.35625000e-01,   0.00000000e+00,   1.49375000e-01
     18000,   2.28125000e-01,   3.33125000e-01,   0.00000000e+00,   1.51250000e-01
     19000,   2.36250000e-01,   3.30000000e-01,   0.00000000e+00,   1.53750000e-01
     20000,   2.38125000e-01,   3.35000000e-01,   0.00000000e+00,   1.55000000e-01
     21000,   2.36250000e-01,   3.41875000e-01,   0.00000000e+00,   1.55625000e-01
     22000,   2.36250000e-01,   3.48750000e-01,   0.00000000e+00,   1.57500000e-01
     23000,   2.36875000e-01,   3.53125000e-01,   0.00000000e+00,   1.60625000e-01
     24000,   2.35625000e-01,   3.56875000e-01,   0.00000000e+00,   1.65000000e-01
     25000,   2.33125000e-01,   3.59375000e-01,   0.00000000e+00,   1.70000000e-01
     26000,   2.30000000e-01,   3.60625000e-01,   0.00000000e+00,   1.72500000e-01
     27000,   2.28125000e-01,   3.59375000e-01,   0.00000000e+00,   1.74375000e-01
     28000,   2.26875000e-01,   3.60625000e-01,   0.00000000e+00,   1.78125000e-01
     29000,   2.26250000e-01,   3.61875000e-01,   0.00000000e+00,   1.81875000e-01
     30000,   2.25000000e-01,   3.62500000e-01,   0.00000000e+00,   1.86250000e-01
     31000,   2.24375000e-01,   3.62500000e-01,   0.00000000e+00,   1.88750000e-01
     32000,   2.23750000e-01,   3.60625000e-01,   0.00000000e+00,   1.91875000e-01
     33000,   2.21875000e-01,   3.62500000e-01,   0.00000000e+00,   1.93125000e-01
     34000,   2.19375000e-01,   3.63750000e-01,   0.00000000e+00,   1.94375000e-01
     35000,   2.16875000e-01,   3.65625000e-01,   0.00000000e+00,   1.95625000e-01
     36000,   2.15625000e-01,   3.66875000e-01,   0.00000000e+00,   1.96250000e-01
     37000,   2.13125000e-01,   3.68750000e-01,   0.00000000e+00,   1.97500000e-01
     38000,   2.11250000e-01,   3.72500000e-01,   0.00000000e+00,   1.98125000e-01
     39000,   2.10000000e-01,   3.75625000e-01,   0.00000000e+00,   1.98750000e-01
     40000,   2.08125000e-01,   3.78750000e-01,   0.00000000e+00,   1.99375000e-01
     41000,   2.07500000e-01,   3.82500000e-01,   0.00000000e+00,   1.99375000e-01
