t, xmin, xmax, ymin, ymax
         0,   1.00000000e-01,   2.49583333e-01,   0.00000000e+00,   9.95833333e-02
      1000,   1.07083333e-01,   2.49583333e-01,   0.00000000e+00,   1.02916667e-01
      2000,   1.14166667e-01,   2.49583333e-01,   0.00000000e+00,   1.05833333e-01
      3000,   1.21666667e-01,   2.49583333e-01,   0.00000000e+00,   1.08750000e-01
      4000,   1.29166667e-01,   2.51250000e-01,   0.00000000e+00,   1.11666667e-01
      5000,   1.36666667e-01,   2.58750000e-01,   0.00000000e+00,   1.14583333e-01
      6000,   1.44166667e-01,   2.66666667e-01,   0.00000000e+00,   1.17500000e-01
      7000,   1.51250000e-01,   2.74583333e-01,   0.00000000e+00,   1.20000000e-01
      8000,   1.58750000e-01,   2.82500000e-01,   0.00000000e+00,   1.22916667e-01
      9000,   1.65833333e-01,   2.91250000e-01,   0.00000000e+00,   1.25000000e-01
     10000,   1.72916667e-01,   3.04166667e-01,   0.00000000e+00,   1.27500000e-01
     11000,   1.80416667e-01,   3.15833333e-01,   0.00000000e+00,   1.29583333e-01
     12000,   1.86666667e-01,   3.26666667e-01,   0.00000000e+00,   1.31666667e-01
     13000,   1.89166667e-01,   3.34166667e-01,   0.00000000e+00,   1.33750000e-01
     14000,   1.93333333e-01,   3.37083333e-01,   0.00000000e+00,   1.37916667e-01
     15000,   2.00833333e-01,   3.38333333e-01,   0.00000000e+00,   1.42916667e-01
     16000,   2.10416667e-01,   3.37500000e-01,   0.00000000e+00,   1.46250000e-01
     17000,   2.19166667e-01,   3.35833333e-01,   0.00000000e+00,   1.48750000e-01
     18000,   2.27500000e-01,   3.35000000e-01,   0.00000000e+00,   1.51666667e-01
     19000,   2.35833333e-01,   3.32916667e-01,   0.00000000e+00,   1.53333333e-01
     20000,   2.37500000e-01,   3.37083333e-01,   0.00000000e+00,   1.55000000e-01
     21000,   2.35833333e-01,   3.42916667e-01,   0.00000000e+00,   1.55833333e-01
     22000,   2.36250000e-01,   3.47083333e-01,   0.00000000e+00,   1.58333333e-01
     23000,   2.37083333e-01,   3.50000000e-01,   0.00000000e+00,   1.62083333e-01
     24000,   2.35833333e-01,   3.50833333e-01,   0.00000000e+00,   1.67083333e-01
     25000,   2.33333333e-01,   3.52500000e-01,   0.00000000e+00,   1.72083333e-01
     26000,   2.30000000e-01,   3.55833333e-01,   0.00000000e+00,   1.75000000e-01
     27000,   2.27916667e-01,   3.58333333e-01,   0.00000000e+00,   1.77916667e-01
     28000,   2.26250000e-01,   3.60416667e-01,   0.00000000e+00,   1.82916667e-01
     29000,   2.25833333e-01,   3.62083333e-01,   0.00000000e+00,   1.85833333e-01
     30000,   2.24583333e-01,   3.63333333e-01,   0.00000000e+00,   1.90000000e-01
     31000,   2.24166667e-01,   3.63333333e-01,   0.00000000e+00,   1.94166667e-01
     32000,   2.23750000e-01,   3.62500000e-01,   0.00000000e+00,   1.97083333e-01
     33000,   2.22083333e-01,   3.60833333e-01,   0.00000000e+00,   1.98750000e-01
     34000,   2.19583333e-01,   3.58750000e-01,   0.00000000e+00,   1.99166667e-01
     35000,   2.17500000e-01,   3.60416667e-01,   0.00000000e+00,   1.99583333e-01
     36000,   2.16666667e-01,   3.62500000e-01,   0.00000000e+00,   1.99583333e-01
     37000,   2.14583333e-01,   3.66666667e-01,   0.00000000e+00,   1.99583333e-01
     38000,   2.13333333e-01,   3.74583333e-01,   0.00000000e+00,   1.99583333e-01
     39000,   2.12083333e-01,   3.82083333e-01,   0.00000000e+00,   1.99583333e-01
     40000,   2.11666667e-01,   3.89583333e-01,   0.00000000e+00,   1.99583333e-01
     41000,   2.10833333e-01,   3.99166667e-01,   0.00000000e+00,   1.99583333e-01
