t, xmin, xmax, ymin, ymax
         0,   1.00000000e-01,   2.49583333e-01,   0.00000000e+00,   9.95833333e-02
      1000,   1.07083333e-01,   2.50416667e-01,   0.00000000e+00,   1.02500000e-01
      2000,   1.14583333e-01,   2.50416667e-01,   0.00000000e+00,   1.05833333e-01
      3000,   1.22083333e-01,   2.50416667e-01,   0.00000000e+00,   1.08750000e-01
      4000,   1.29583333e-01,   2.51250000e-01,   0.00000000e+00,   1.11250000e-01
      5000,   1.37083333e-01,   2.58333333e-01,   0.00000000e+00,   1.14166667e-01
      6000,   1.44583333e-01,   2.66250000e-01,   0.00000000e+00,   1.17083333e-01
      7000,   1.52083333e-01,   2.74166667e-01,   0.00000000e+00,   1.19583333e-01
      8000,   1.59166667e-01,   2.82083333e-01,   0.00000000e+00,   1.22500000e-01
      9000,   1.66250000e-01,   2.91250000e-01,   0.00000000e+00,   1.24583333e-01
     10000,   1.73333333e-01,   3.03333333e-01,   0.00000000e+00,   1.27083333e-01
     11000,   1.80833333e-01,   3.15416667e-01,   0.00000000e+00,   1.29583333e-01
     12000,   1.87083333e-01,   3.27083333e-01,   0.00000000e+00,   1.31250000e-01
     13000,   1.89583333e-01,   3.35000000e-01,   0.00000000e+00,   1.33333333e-01
     14000,   1.93750000e-01,   3.37500000e-01,   0.00000000e+00,   1.37500000e-01
     15000,   2.00833333e-01,   3.38333333e-01,   0.00000000e+00,   1.42500000e-01
     16000,   2.10000000e-01,   3.37916667e-01,   0.00000000e+00,   1.46250000e-01
     17000,   2.18750000e-01,   3.36666667e-01,   0.00000000e+00,   1.49166667e-01
     18000,   2.27500000e-01,   3.35416667e-01,   0.00000000e+00,   1.52083333e-01
     19000,   2.35416667e-01,   3.32916667e-01,   0.00000000e+00,   1.54583333e-01
     20000,   2.37916667e-01,   3.39583333e-01,   0.00000000e+00,   1.56666667e-01
     21000,   2.36250000e-01,   3.47083333e-01,   0.00000000e+00,   1.58750000e-01
     22000,   2.36666667e-01,   3.52500000e-01,   0.00000000e+00,   1.60833333e-01
     23000,   2.37083333e-01,   3.55416667e-01,   0.00000000e+00,   1.63333333e-01
     24000,   2.35416667e-01,   3.56250000e-01,   0.00000000e+00,   1.67083333e-01
     25000,   2.32500000e-01,   3.59166667e-01,   0.00000000e+00,   1.71666667e-01
     26000,   2.29166667e-01,   3.63750000e-01,   0.00000000e+00,   1.74583333e-01
     27000,   2.27083333e-01,   3.67916667e-01,   0.00000000e+00,   1.75833333e-01
     28000,   2.25416667e-01,   3.71666667e-01,   0.00000000e+00,   1.79166667e-01
     29000,   2.23750000e-01,   3.74166667e-01,   0.00000000e+00,   1.82500000e-01
     30000,   2.21666667e-01,   3.76666667e-01,   0.00000000e+00,   1.85833333e-01
     31000,   2.20000000e-01,   3.78750000e-01,   0.00000000e+00,   1.87916667e-01
     32000,   2.18333333e-01,   3.78750000e-01,   0.00000000e+00,   1.89166667e-01
     33000,   2.16250000e-01,   3.77916667e-01,   0.00000000e+00,   1.90000000e-01
     34000,   2.13333333e-01,   3.76666667e-01,   0.00000000e+00,   1.91250000e-01
     35000,   2.11250000e-01,   3.77083333e-01,   0.00000000e+00,   1.92916667e-01
     36000,   2.09166667e-01,   3.80000000e-01,   0.00000000e+00,   1.95416667e-01
     37000,   2.07083333e-01,   3.82916667e-01,   0.00000000e+00,   1.97083333e-01
     38000,   2.05416667e-01,   3.86250000e-01,   0.00000000e+00,   1.98333333e-01
     39000,   2.04166667e-01,   3.89166667e-01,   0.00000000e+00,   1.99166667e-01
     40000,   2.02916667e-01,   3.92500000e-01,   0.00000000e+00,   1.99583333e-01
     41000,   2.02500000e-01,   3.95833333e-01,   0.00000000e+00,   1.99583333e-01
