t, xmin, xmax, ymin, ymax
         0,   1.00000000e-01,   2.49583333e-01,   0.00000000e+00,   9.95833333e-02
      1000,   1.07083333e-01,   2.49583333e-01,   0.00000000e+00,   1.02916667e-01
      2000,   1.14583333e-01,   2.49583333e-01,   0.00000000e+00,   1.05416667e-01
      3000,   1.22083333e-01,   2.49583333e-01,   0.00000000e+00,   1.08333333e-01
      4000,   1.29583333e-01,   2.51666667e-01,   0.00000000e+00,   1.11250000e-01
      5000,   1.37083333e-01,   2.58750000e-01,   0.00000000e+00,   1.14166667e-01
      6000,   1.44583333e-01,   2.66250000e-01,   0.00000000e+00,   1.16666667e-01
      7000,   1.52083333e-01,   2.73750000e-01,   0.00000000e+00,   1.19583333e-01
      8000,   1.59166667e-01,   2.84166667e-01,   0.00000000e+00,   1.22083333e-01
      9000,   1.66666667e-01,   2.96250000e-01,   0.00000000e+00,   1.25000000e-01
     10000,   1.73750000e-01,   3.08750000e-01,   0.00000000e+00,   1.26666667e-01
     11000,   1.80833333e-01,   3.22916667e-01,   0.00000000e+00,   1.29583333e-01
     12000,   1.87500000e-01,   3.34583333e-01,   0.00000000e+00,   1.31666667e-01
     13000,   1.89583333e-01,   3.40000000e-01,   0.00000000e+00,   1.35416667e-01
     14000,   1.93750000e-01,   3.44166667e-01,   0.00000000e+00,   1.40833333e-01
     15000,   2.01250000e-01,   3.48333333e-01,   0.00000000e+00,   1.45000000e-01
     16000,   2.10416667e-01,   3.50000000e-01,   0.00000000e+00,   1.48750000e-01
     17000,   2.18750000e-01,   3.49583333e-01,   0.00000000e+00,   1.54166667e-01
     18000,   2.27500000e-01,   3.50000000e-01,   0.00000000e+00,   1.58333333e-01
     19000,   2.35416667e-01,   3.50000000e-01,   0.00000000e+00,   1.61666667e-01
     20000,   2.37916667e-01,   3.57916667e-01,   0.00000000e+00,   1.62916667e-01
     21000,   2.36250000e-01,   3.65416667e-01,   0.00000000e+00,   1.64583333e-01
     22000,   2.36666667e-01,   3.70416667e-01,   0.00000000e+00,   1.69166667e-01
     23000,   2.37083333e-01,   3.73750000e-01,   0.00000000e+00,   1.72916667e-01
     24000,   2.35416667e-01,   3.75416667e-01,   0.00000000e+00,   1.77500000e-01
     25000,   2.32083333e-01,   3.76666667e-01,   0.00000000e+00,   1.81666667e-01
     26000,   2.29166667e-01,   3.77083333e-01,   0.00000000e+00,   1.84583333e-01
     27000,   2.26666667e-01,   3.76666667e-01,   0.00000000e+00,   1.87916667e-01
     28000,   2.25000000e-01,   3.78333333e-01,   0.00000000e+00,   1.90000000e-01
     29000,   2.24166667e-01,   3.80833333e-01,   0.00000000e+00,   1.91666667e-01
     30000,   2.22083333e-01,   3.83750000e-01,   0.00000000e+00,   1.93333333e-01
     31000,   2.20000000e-01,   3.87083333e-01,   0.00000000e+00,   1.94583333e-01
     32000,   2.17916667e-01,   3.89583333e-01,   0.00000000e+00,   1.95833333e-01
     33000,   2.15833333e-01,   3.91666667e-01,   0.00000000e+00,   1.95833333e-01
     34000,   2.13333333e-01,   3.93333333e-01,   0.00000000e+00,   1.95833333e-01
     35000,   2.11666667e-01,   3.95000000e-01,   0.00000000e+00,   1.96250000e-01
     36000,   2.10000000e-01,   3.96666667e-01,   0.00000000e+00,   1.97083333e-01
     37000,   2.07500000e-01,   3.98333333e-01,   0.00000000e+00,   1.98750000e-01
     38000,   2.05416667e-01,   4.00000000e-01,   0.00000000e+00,   1.99583333e-01
     39000,   2.03750000e-01,   4.01666667e-01,   0.00000000e+00,   1.99583333e-01
     40000,   2.02916667e-01,   4.02916667e-01,   0.00000000e+00,   1.99583333e-01
     41000,   2.02500000e-01,   4.04583333e-01,   0.00000000e+00,   1.99583333e-01
