t, xmin, xmax, ymin, ymax
         0,   1.00000000e-01,   2.49583333e-01,   0.00000000e+00,   9.95833333e-02
      1000,   1.06666667e-01,   2.50833333e-01,   0.00000000e+00,   1.02500000e-01
      2000,   1.13750000e-01,   2.51250000e-01,   0.00000000e+00,   1.05833333e-01
      3000,   1.21250000e-01,   2.51250000e-01,   0.00000000e+00,   1.09166667e-01
      4000,   1.28750000e-01,   2.51666667e-01,   0.00000000e+00,   1.12083333e-01
      5000,   1.36250000e-01,   2.57916667e-01,   0.00000000e+00,   1.15000000e-01
      6000,   1.43333333e-01,   2.65833333e-01,   0.00000000e+00,   1.17916667e-01
      7000,   1.50833333e-01,   2.73750000e-01,   0.00000000e+00,   1.20833333e-01
      8000,   1.57916667e-01,   2.82500000e-01,   0.00000000e+00,   1.23333333e-01
      9000,   1.65000000e-01,   2.91666667e-01,   0.00000000e+00,   1.25833333e-01
     10000,   1.72083333e-01,   3.03750000e-01,   0.00000000e+00,   1.27916667e-01
     11000,   1.79166667e-01,   3.15416667e-01,   0.00000000e+00,   1.30000000e-01
     12000,   1.85833333e-01,   3.26250000e-01,   0.00000000e+00,   1.32083333e-01
     13000,   1.88750000e-01,   3.33333333e-01,   0.00000000e+00,   1.34166667e-01
     14000,   1.92916667e-01,   3.26666667e-01,   0.00000000e+00,   1.37916667e-01
     15000,   2.00416667e-01,   3.18750000e-01,   0.00000000e+00,   1.42500000e-01
     16000,   2.10000000e-01,   3.14166667e-01,   0.00000000e+00,   1.46250000e-01
     17000,   2.19166667e-01,   3.18750000e-01,   0.00000000e+00,   1.48750000e-01
     18000,   2.27916667e-01,   3.22916667e-01,   0.00000000e+00,   1.51666667e-01
     19000,   2.36250000e-01,   3.29166667e-01,   0.00000000e+00,   1.53333333e-01
     20000,   2.37500000e-01,   3.36250000e-01,   0.00000000e+00,   1.55000000e-01
     21000,   2.35833333e-01,   3.42083333e-01,   0.00000000e+00,   1.56250000e-01
     22000,   2.36250000e-01,   3.46666667e-01,   0.00000000e+00,   1.58750000e-01
     23000,   2.37083333e-01,   3.49166667e-01,   0.00000000e+00,   1.62083333e-01
     24000,   2.35833333e-01,   3.50833333e-01,   0.00000000e+00,   1.67083333e-01
     25000,   2.32916667e-01,   3.52500000e-01,   0.00000000e+00,   1.72500000e-01
     26000,   2.30000000e-01,   3.55000000e-01,   0.00000000e+00,   1.75833333e-01
     27000,   2.27500000e-01,   3.55833333e-01,   0.00000000e+00,   1.78750000e-01
     28000,   2.26250000e-01,   3.56250000e-01,   0.00000000e+00,   1.83750000e-01
     29000,   2.25833333e-01,   3.56250000e-01,   0.00000000e+00,   1.86666667e-01
     30000,   2.24583333e-01,   3.56250000e-01,   0.00000000e+00,   1.90416667e-01
     31000,   2.24166667e-01,   3.56250000e-01,   0.00000000e+00,   1.92916667e-01
     32000,   2.24166667e-01,   3.55000000e-01,   0.00000000e+00,   1.95000000e-01
     33000,   2.22500000e-01,   3.57916667e-01,   0.00000000e+00,   1.95416667e-01
     34000,   2.20416667e-01,   3.59166667e-01,   0.00000000e+00,   1.95833333e-01
     35000,   2.18333333e-01,   3.60416667e-01,   0.00000000e+00,   1.95833333e-01
     36000,   2.17083333e-01,   3.62500000e-01,   0.00000000e+00,   1.97083333e-01
     37000,   2.14583333e-01,   3.65000000e-01,   0.00000000e+00,   1.97916667e-01
     38000,   2.13333333e-01,   3.67916667e-01,   0.00000000e+00,   1.99583333e-01
     39000,   2.12500000e-01,   3.72500000e-01,   0.00000000e+00,   1.99583333e-01
     40000,   2.11666667e-01,   3.77500000e-01,   0.00000000e+00,   1.99583333e-01
     41000,   2.10833333e-01,   3.83333333e-01,   0.00000000e+00,   1.99583333e-01
