t, xmin, xmax, ymin, ymax
         0,   1.00000000e-01,   2.49375000e-01,   0.00000000e+00,   9.93750000e-02
      1000,   1.06875000e-01,   2.49375000e-01,   0.00000000e+00,   1.02500000e-01
      2000,   1.14375000e-01,   2.49375000e-01,   0.00000000e+00,   1.05625000e-01
      3000,   1.21875000e-01,   2.49375000e-01,   0.00000000e+00,   1.08125000e-01
      4000,   1.29375000e-01,   2.51250000e-01,   0.00000000e+00,   1.11250000e-01
      5000,   1.36875000e-01,   2.58750000e-01,   0.00000000e+00,   1.13750000e-01
      6000,   1.44375000e-01,   2.66250000e-01,   0.00000000e+00,   1.16875000e-01
      7000,   1.51875000e-01,   2.73750000e-01,   0.00000000e+00,   1.19375000e-01
      8000,   1.59375000e-01,   2.82500000e-01,   0.00000000e+00,   1.22500000e-01
      9000,   1.66250000e-01,   2.91250000e-01,   0.00000000e+00,   1.24375000e-01
     10000,   1.73125000e-01,   3.02500000e-01,   0.00000000e+00,   1.26875000e-01
     11000,   1.80625000e-01,   3.18125000e-01,   0.00000000e+00,   1.28750000e-01
     12000,   1.86875000e-01,   3.31250000e-01,   0.00000000e+00,   1.31250000e-01
     13000,   1.89375000e-01,   3.38125000e-01,   0.00000000e+00,   1.33750000e-01
     14000,   1.93750000e-01,   3.39375000e-01,   0.00000000e+00,   1.38125000e-01
     15000,   2.00625000e-01,   3.40000000e-01,   0.00000000e+00,   1.42500000e-01
     16000,   2.10000000e-01,   3.38750000e-01,   0.00000000e+00,   1.46250000e-01
     17000,   2.18750000e-01,   3.38125000e-01,   0.00000000e+00,   1.48750000e-01
     18000,   2.26875000e-01,   3.35625000e-01,   0.00000000e+00,   1.51875000e-01
     19000,   2.35000000e-01,   3.31250000e-01,   0.00000000e+00,   1.53125000e-01
     20000,   2.37500000e-01,   3.35000000e-01,   0.00000000e+00,   1.53125000e-01
     21000,   2.35000000e-01,   3.40000000e-01,   0.00000000e+00,   1.56250000e-01
     22000,   2.35625000e-01,   3.45000000e-01,   0.00000000e+00,   1.60625000e-01
     23000,   2.36250000e-01,   3.50000000e-01,   0.00000000e+00,   1.65000000e-01
     24000,   2.35625000e-01,   3.56250000e-01,   0.00000000e+00,   1.69375000e-01
     25000,   2.31875000e-01,   3.61250000e-01,   0.00000000e+00,   1.74375000e-01
     26000,   2.28750000e-01,   3.64375000e-01,   0.00000000e+00,   1.78750000e-01
     27000,   2.25625000e-01,   3.65000000e-01,   0.00000000e+00,   1.83125000e-01
     28000,   2.23750000e-01,   3.64375000e-01,   0.00000000e+00,   1.88125000e-01
     29000,   2.23125000e-01,   3.63750000e-01,   0.00000000e+00,   1.93125000e-01
     30000,   2.21250000e-01,   3.61875000e-01,   0.00000000e+00,   1.96250000e-01
     31000,   2.20625000e-01,   3.60625000e-01,   0.00000000e+00,   1.97500000e-01
     32000,   2.20625000e-01,   3.57500000e-01,   0.00000000e+00,   1.98125000e-01
     33000,   2.18750000e-01,   3.60000000e-01,   0.00000000e+00,   1.98750000e-01
     34000,   2.16250000e-01,   3.70000000e-01,   0.00000000e+00,   1.99375000e-01
     35000,   2.14375000e-01,   3.80000000e-01,   0.00000000e+00,   1.99375000e-01
     36000,   2.13750000e-01,   3.89375000e-01,   0.00000000e+00,   1.99375000e-01
     37000,   2.11250000e-01,   3.98125000e-01,   0.00000000e+00,   1.99375000e-01
     38000,   2.09375000e-01,   4.06250000e-01,   0.00000000e+00,   1.99375000e-01
     39000,   2.08125000e-01,   4.13750000e-01,   0.00000000e+00,   1.99375000e-01
     40000,   2.06875000e-01,   4.19375000e-01,   0.00000000e+00,   1.99375000e-01
     41000,   2.05625000e-01,   4.22500000e-01,   0.00000000e+00,   1.99375000e-01
