t, xmin, xmax, ymin, ymax
         0,   1.00000000e-01,   2.49375000e-01,   0.00000000e+00,   9.93750000e-02
      1000,   1.04375000e-01,   2.52500000e-01,   0.00000000e+00,   1.02500000e-01
      2000,   1.10625000e-01,   2.54375000e-01,   0.00000000e+00,   1.04375000e-01
      3000,   1.17500000e-01,   2.55000000e-01,   0.00000000e+00,   1.06875000e-01
      4000,   1.23750000e-01,   2.56250000e-01,   0.00000000e+00,   1.09375000e-01
      5000,   1.30625000e-01,   2.58125000e-01,   0.00000000e+00,   1.12500000e-01
      6000,   1.37500000e-01,   2.64375000e-01,   0.00000000e+00,   1.15625000e-01
      7000,   1.44375000e-01,   2.71250000e-01,   0.00000000e+00,   1.18750000e-01
      8000,   1.51250000e-01,   2.78750000e-01,   0.00000000e+00,   1.21250000e-01
      9000,   1.58125000e-01,   2.86875000e-01,   0.00000000e+00,   1.24375000e-01
     10000,   1.64375000e-01,   2.96250000e-01,   0.00000000e+00,   1.26875000e-01
     11000,   1.71250000e-01,   3.04375000e-01,   0.00000000e+00,   1.28750000e-01
     12000,   1.76875000e-01,   3.11875000e-01,   0.00000000e+00,   1.31250000e-01
     13000,   1.82500000e-01,   3.18750000e-01,   0.00000000e+00,   1.33750000e-01
     14000,   1.87500000e-01,   3.20625000e-01,   0.00000000e+00,   1.35625000e-01
     15000,   1.95000000e-01,   3.19375000e-01,   0.00000000e+00,   1.40000000e-01
     16000,   2.03125000e-01,   3.16875000e-01,   0.00000000e+00,   1.43750000e-01
     17000,   2.12500000e-01,   3.15000000e-01,   0.00000000e+00,   1.45625000e-01
     18000,   2.21875000e-01,   3.20000000e-01,   0.00000000e+00,   1.48125000e-01
     19000,   2.30625000e-01,   3.24375000e-01,   0.00000000e+00,   1.49375000e-01
     20000,   2.33125000e-01,   3.30000000e-01,   0.00000000e+00,   1.51875000e-01
     21000,   2.30000000e-01,   3.35625000e-01,   0.00000000e+00,   1.54375000e-01
     22000,   2.29375000e-01,   3.40625000e-01,   0.00000000e+00,   1.56250000e-01
     23000,   2.30625000e-01,   3.44375000e-01,   0.00000000e+00,   1.58750000e-01
     24000,   2.30625000e-01,   3.46250000e-01,   0.00000000e+00,   1.61250000e-01
     25000,   2.26875000e-01,   3.48750000e-01,   0.00000000e+00,   1.65625000e-01
     26000,   2.23125000e-01,   3.50000000e-01,   0.00000000e+00,   1.68750000e-01
     27000,   2.20000000e-01,   3.50625000e-01,   0.00000000e+00,   1.70625000e-01
     28000,   2.17500000e-01,   3.51250000e-01,   0.00000000e+00,   1.72500000e-01
     29000,   2.16250000e-01,   3.51875000e-01,   0.00000000e+00,   1.74375000e-01
     30000,   2.15000000e-01,   3.53750000e-01,   0.00000000e+00,   1.76250000e-01
     31000,   2.14375000e-01,   3.56250000e-01,   0.00000000e+00,   1.78125000e-01
     32000,   2.14375000e-01,   3.58750000e-01,   0.00000000e+00,   1.79375000e-01
     33000,   2.14375000e-01,   3.60625000e-01,   0.00000000e+00,   1.80625000e-01
     34000,   2.13125000e-01,   3.61875000e-01,   0.00000000e+00,   1.81250000e-01
     35000,   2.11250000e-01,   3.62500000e-01,   0.00000000e+00,   1.82500000e-01
     36000,   2.09375000e-01,   3.63125000e-01,   0.00000000e+00,   1.83750000e-01
     37000,   2.07500000e-01,   3.63125000e-01,   0.00000000e+00,   1.85000000e-01
     38000,   2.05625000e-01,   3.64375000e-01,   0.00000000e+00,   1.86250000e-01
     39000,   2.05000000e-01,   3.65625000e-01,   0.00000000e+00,   1.87500000e-01
     40000,   2.04375000e-01,   3.66875000e-01,   0.00000000e+00,   1.88750000e-01
     41000,   2.03750000e-01,   3.68125000e-01,   0.00000000e+00,   1.89375000e-01
