t, xmin, xmax, ymin, ymax
         0,   1.00000000e-01,   2.49583333e-01,   0.00000000e+00,   9.95833333e-02
      1000,   1.05000000e-01,   2.52500000e-01,   0.00000000e+00,   1.02500000e-01
      2000,   1.11666667e-01,   2.53333333e-01,   0.00000000e+00,   1.04583333e-01
      3000,   1.18333333e-01,   2.54166667e-01,   0.00000000e+00,   1.07500000e-01
      4000,   1.25416667e-01,   2.55000000e-01,   0.00000000e+00,   1.10416667e-01
      5000,   1.32083333e-01,   2.57916667e-01,   0.00000000e+00,   1.13750000e-01
      6000,   1.39166667e-01,   2.64166667e-01,   0.00000000e+00,   1.16666667e-01
      7000,   1.46250000e-01,   2.71666667e-01,   0.00000000e+00,   1.19583333e-01
      8000,   1.52916667e-01,   2.79583333e-01,   0.00000000e+00,   1.22500000e-01
      9000,   1.59583333e-01,   2.87500000e-01,   0.00000000e+00,   1.25416667e-01
     10000,   1.66666667e-01,   2.97500000e-01,   0.00000000e+00,   1.27916667e-01
     11000,   1.72916667e-01,   3.06250000e-01,   0.00000000e+00,   1.30416667e-01
     12000,   1.79166667e-01,   3.14583333e-01,   0.00000000e+00,   1.32500000e-01
     13000,   1.84166667e-01,   3.21666667e-01,   0.00000000e+00,   1.35000000e-01
     14000,   1.89166667e-01,   3.23750000e-01,   0.00000000e+00,   1.37083333e-01
     15000,   1.96250000e-01,   3.23333333e-01,   0.00000000e+00,   1.41666667e-01
     16000,   2.05000000e-01,   3.21250000e-01,   0.00000000e+00,   1.45000000e-01
     17000,   2.14583333e-01,   3.17916667e-01,   0.00000000e+00,   1.47083333e-01
     18000,   2.23750000e-01,   3.22500000e-01,   0.00000000e+00,   1.49583333e-01
     19000,   2.32916667e-01,   3.27500000e-01,   0.00000000e+00,   1.51666667e-01
     20000,   2.34166667e-01,   3.33333333e-01,   0.00000000e+00,   1.53750000e-01
     21000,   2.31250000e-01,   3.39166667e-01,   0.00000000e+00,   1.56250000e-01
     22000,   2.31250000e-01,   3.44166667e-01,   0.00000000e+00,   1.58750000e-01
     23000,   2.32500000e-01,   3.47083333e-01,   0.00000000e+00,   1.61250000e-01
     24000,   2.32500000e-01,   3.49583333e-01,   0.00000000e+00,   1.63750000e-01
     25000,   2.29166667e-01,   3.51666667e-01,   0.00000000e+00,   1.68333333e-01
     26000,   2.25416667e-01,   3.52916667e-01,   0.00000000e+00,   1.71666667e-01
     27000,   2.22500000e-01,   3.53333333e-01,   0.00000000e+00,   1.73750000e-01
     28000,   2.20416667e-01,   3.54166667e-01,   0.00000000e+00,   1.75833333e-01
     29000,   2.18750000e-01,   3.54583333e-01,   0.00000000e+00,   1.77916667e-01
     30000,   2.18333333e-01,   3.56250000e-01,   0.00000000e+00,   1.80000000e-01
     31000,   2.17916667e-01,   3.58750000e-01,   0.00000000e+00,   1.82083333e-01
     32000,   2.17916667e-01,   3.60833333e-01,   0.00000000e+00,   1.83333333e-01
     33000,   2.18333333e-01,   3.62083333e-01,   0.00000000e+00,   1.84583333e-01
     34000,   2.17083333e-01,   3.62916667e-01,   0.00000000e+00,   1.85416667e-01
     35000,   2.15000000e-01,   3.63333333e-01,   0.00000000e+00,   1.86666667e-01
     36000,   2.12916667e-01,   3.63333333e-01,   0.00000000e+00,   1.88333333e-01
     37000,   2.10833333e-01,   3.63750000e-01,   0.00000000e+00,   1.89583333e-01
     38000,   2.09583333e-01,   3.64166667e-01,   0.00000000e+00,   1.90833333e-01
     39000,   2.09166667e-01,   3.65416667e-01,   0.00000000e+00,   1.92083333e-01
     40000,   2.08750000e-01,   3.67083333e-01,   0.00000000e+00,   1.93333333e-01
     41000,   2.08333333e-01,   3.68750000e-01,   0.00000000e+00,   1.94583333e-01
