t, xmin, xmax, ymin, ymax
         0,   1.00000000e-01,   2.49375000e-01,   0.00000000e+00,   9.93750000e-02
      1000,   1.06250000e-01,   2.51250000e-01,   0.00000000e+00,   1.01875000e-01
      2000,   1.13750000e-01,   2.51250000e-01,   0.00000000e+00,   1.05000000e-01
      3000,   1.20625000e-01,   2.51875000e-01,   0.00000000e+00,   1.08750000e-01
      4000,   1.28125000e-01,   2.51875000e-01,   0.00000000e+00,   1.11875000e-01
      5000,   1.35625000e-01,   2.57500000e-01,   0.00000000e+00,   1.15000000e-01
      6000,   1.43125000e-01,   2.65000000e-01,   0.00000000e+00,   1.18125000e-01
      7000,   1.50000000e-01,   2.73125000e-01,   0.00000000e+00,   1.20625000e-01
      8000,   1.57500000e-01,   2.81875000e-01,   0.00000000e+00,   1.23750000e-01
      9000,   1.64375000e-01,   2.90625000e-01,   0.00000000e+00,   1.26250000e-01
     10000,   1.71250000e-01,   3.03125000e-01,   0.00000000e+00,   1.28125000e-01
     11000,   1.78750000e-01,   3.14375000e-01,   0.00000000e+00,   1.30625000e-01
     12000,   1.85000000e-01,   3.25625000e-01,   0.00000000e+00,   1.32500000e-01
     13000,   1.88125000e-01,   3.32500000e-01,   0.00000000e+00,   1.34375000e-01
     14000,   1.92500000e-01,   3.30000000e-01,   0.00000000e+00,   1.38125000e-01
     15000,   2.00000000e-01,   3.13125000e-01,   0.00000000e+00,   1.42500000e-01
     16000,   2.10000000e-01,   3.14375000e-01,   0.00000000e+00,   1.46250000e-01
     17000,   2.18750000e-01,   3.19375000e-01,   0.00000000e+00,   1.48750000e-01
     18000,   2.28125000e-01,   3.23750000e-01,   0.00000000e+00,   1.51250000e-01
     19000,   2.36875000e-01,   3.29375000e-01,   0.00000000e+00,   1.53125000e-01
     20000,   2.37500000e-01,   3.36250000e-01,   0.00000000e+00,   1.55000000e-01
     21000,   2.35625000e-01,   3.41875000e-01,   0.00000000e+00,   1.56875000e-01
     22000,   2.36250000e-01,   3.46250000e-01,   0.00000000e+00,   1.59375000e-01
     23000,   2.37500000e-01,   3.49375000e-01,   0.00000000e+00,   1.62500000e-01
     24000,   2.36250000e-01,   3.51250000e-01,   0.00000000e+00,   1.67500000e-01
     25000,   2.33125000e-01,   3.53125000e-01,   0.00000000e+00,   1.73125000e-01
     26000,   2.30000000e-01,   3.54375000e-01,   0.00000000e+00,   1.76875000e-01
     27000,   2.27500000e-01,   3.55000000e-01,   0.00000000e+00,   1.80000000e-01
     28000,   2.26250000e-01,   3.54375000e-01,   0.00000000e+00,   1.84375000e-01
     29000,   2.26250000e-01,   3.54375000e-01,   0.00000000e+00,   1.87500000e-01
     30000,   2.25000000e-01,   3.53125000e-01,   0.00000000e+00,   1.90625000e-01
     31000,   2.25000000e-01,   3.51875000e-01,   0.00000000e+00,   1.92500000e-01
     32000,   2.25000000e-01,   3.54375000e-01,   0.00000000e+00,   1.93750000e-01
     33000,   2.23125000e-01,   3.56250000e-01,   0.00000000e+00,   1.93125000e-01
     34000,   2.21250000e-01,   3.55000000e-01,   0.00000000e+00,   1.93750000e-01
     35000,   2.19375000e-01,   3.58125000e-01,   0.00000000e+00,   1.93750000e-01
     36000,   2.18125000e-01,   3.61875000e-01,   0.00000000e+00,   1.93750000e-01
     37000,   2.15625000e-01,   3.66250000e-01,   0.00000000e+00,   1.95000000e-01
     38000,   2.14375000e-01,   3.70625000e-01,   0.00000000e+00,   1.96250000e-01
     39000,   2.13750000e-01,   3.75625000e-01,   0.00000000e+00,   1.96875000e-01
     40000,   2.13125000e-01,   3.79375000e-01,   0.00000000e+00,   1.98750000e-01
     41000,   2.12500000e-01,   3.85000000e-01,   0.00000000e+00,   1.99375000e-01
